productName,brand,price,GTIN"Fackelbrot Cheddar-Mozzarrela","fackelbrot","3.99","4039273749695"
"Toppits Gefrieretiketten 60 Stück","Toppits","1.89","4008871200389"
"Gepa Bio Joghurt Cashewkerne 100g","Gepa","3.49","4013320246634"
"Sunil Colorwaschmittel Pulver 4,2kg, 70WL","Sunil","12.99","4013162013289"
"Goldmännchen-Tee Jägertee mit Holunderbeeren 50g, 20 Beutel","Goldmännchen-Tee","2.59","4008071090285"
"REWE Bio Hähnchenflügel 480g","REWE Bio","4.75","2152690000001"
"Plantur 39 Coffein-Shampoo Color 250ml","Plantur 39","9.99","4008666700902"
"Moselland Weißwein Riesling Steillage Auslese 0,75l","Moselland","7.49","4006975001406"
"Karotten aus der Region","karotten","0.20","4260750073044"
"Käfer Caffè Crema Lungo ganze Bohne 1kg","Käfer","10.99","4037014004508"
"Schildauer Leberwurst frisch","Schildauer","1.39","21589652"
"Vilsa Medium 1l","Vilsa","0.69","4104450004086"
"Winston Black 50 Stück","Winston","15.00","42404392"
"Kühne Fasskraut fix & fertig Sauerkraut 385g","Kühne","2.09","4012200505328"
"Ress Family Wineries Traubenspiel Weißwein Müller-Thurgau QbA trocken 0,75l","ress","6.99","4018847183301"
"Lindt Lindor Schokokugeln Mischung 137g","Lindt","4.79","4000539389207"
"Müller Pudding Schoko vegan 300g","Müller","1.89","4025500275259"
"Raw Bite Bio Riegel Vanilla Berries 50g","Rawbite","1.99","5712840020074"
"Körfez Joghurt Original türkische Art 1000g","Körfez","2.99","4008534039158"
"REWE Regional Wiener Würstchen 200g","REWE Regional","2.99","4337256462167"
"Burgi's roher Kloßteig 750g","Burgis","2.39","4009268002791"
"MinusL Emmentaler gerieben 150g","MinusL","2.49","4062800003489"
"Fromi Moliterno al Tartufo 100g","Fromi","4.99","4250561604902"
"Frostkrone Knuspergarnelen mit Dip 260g","frostkrone","5.49","4029401044440"
"Barilla Pesto Basilico e Rucola 190g","Barilla","1.99","8076809545396"
"Hemme Milch Frische Vollmilch 3,7% 1l","Hemme Milch","1.49","4260055880033"
"Ziegler Weinbergpfirsich 0,5l","Ziegler","39.99","4017869200133"
"Fanta Mango Drachenfrucht 0,33l","Fanta","1.09","54017245"
"REWE Bio + vegan Räucher-Tofu 2x175g","REWE Bio","2.19","4337256242585"
"Vivess Trockene Bodentücher 22 Stück","Vivess","3.49","4388859100277"
"Wild Turkey Rare Breed Kentucky Straight Bourbon Whiskey 0,7l","Wild Turkey","44.99","721059002530"
"Erasco Heisse Tasse Chinesische Gemüse-Suppe 3x150ml","Erasco","0.99","4013300035043"
"Zentis Premium Edelmarzipan Erdbeere-Geschmack 90g","Zentis","1.99","4062432002799"
"Dürrröhrsdorfer Schweinezunge 80g","Dürrröhrsdorfer","2.69","4032304461214"
"Kloster Scheyern Export Dunkel 20x0,5l","Kloster Scheyern","18.99","4017900518111"
"Salzbrenner Würstchen 10x50g","Salzbrenner","11.19","4014327932285"
"Gourmonde Mini Flutes Blätterteiggebäck Salz 100g","Gourmonde","2.99","4008934193016"
"Boente's Waldgeist XXL 3l","Boente's","21.99","4009415531198"
"Maggi Jäger Sauce ergibt 2 Liter","Maggi","3.49","7613035494640"
"Berchtesgadener Land Fettarmer Kefir mild 500g","Berchtesgadener Land","0.89","4101530000709"
"Odenwald Stachelbeeren 360g","Odenwald","3.29","4008122110030"
"Nescafé Farmers Origins 3 Americas Lungo Arabica-Robusta 54g","Nescafé","3.49","7630477879811"
"LieblingsTee Bio Kräutertee Herbal Balance 24g, 12 Beutel","lieblingstee","2.99","4260494792256"
"Vuse ePod Caps Blushed Mango 18mg","vuse","9.95","4031300250167"
"Veltins Fassbrause Holunder 4x6x0,33l","Veltins","19.96","4005249002675"
"Schwarzer Rettich 1 Stück","schwarzer","1.69","4011424113869"
"Seitenbacher Piratensnacks 30g","Seitenbacher","1.59","4008391013001"
"Alwa Johannisbeere Schorle 6x0,5l","Alwa","5.34","4100120617433"
"Bio Basilikum im Bund aus der Region","bio","1.99","4260354631039"
"Born Weißwein Riesling QbA trocken 0,75l","born","9.99","4260109140342"
"Caisteal Chamuis Blended Malt Scotch Whisky 0,7l","caisteal","39.99","5060033847008"
"Simply V Block würzig vegan 200g","Simply V","2.99","4260444962777"
"Schwälbchen Speisequark 20% 250g","Schwälbchen","1.19","4008534062309"
"Diamant Weizenmehl Extra 500g","Diamant","0.99","4008549045014"
"Feodora Frühlings Täfelchen Vollmilch 225g","Feodora","5.69","4000323034306"
"Hartkorn Muskat gemahlen 32g","Hartkorn","2.69","40526225"
"Sachsenmilch Unser Buttermilch-Dessert Gartenfrüchte Pflaume 200g","Sachsenmilch","0.69","4025839033902"
"Genuport Macarons de Pauline Mischung 72g","genuport","3.99","5420052055097"
"REWE Bio Paranusskerne 200g","REWE Bio","3.99","4388844043855"
"Allgäu-Brennerei feiner Haselnuss 0,5l","allgaeu","11.39","4260284475062"
"Watzdorfer Landbier 0,33l","watzdorfer","0.65","4033692001259"
"Bianco Nobile alla Vaniglia 0,75l","bianco","3.99","3263280124300"
"Hamfelder Hof Bio Vollmilch länger haltbar 3,8% 1l","Hamfelder Hof","1.89","4056479184006"
"Pfanner Granatapfel 1l","Pfanner","1.99","9006900208929"
"Keunecke Harzer Spezialitäten Reh Ragout mit Pfifferlingsauce 300g","Keunecke","3.89","4012665410861"
"Reinoldus Mineralwasser Classic 1l","Reinoldus","0.55","4101130000956"
"Schwarzwaldmilch LAC Joghurt nach griechischer Art Natur laktosefrei 150g","Schwarzwaldmilch","0.99","4046700105504"
"Licher Naturradler alkoholfrei 4x6x0,33l","Licher","17.96","4002798021478"
"Hainich Sellerie in Scheiben 360g","Hainich","1.69","4028286601519"
"Bard Schnitzel gold-gelb 120g","Bard","3.99","4039273764599"
"Cellini Limoncello 0,7l","Cellini","11.99","8005829606008"
"Oral-B Aufsteckbürste Sensitive Clean 3 Stück","Oral-B","9.99","4210201316879"
"Blockhouse US Ribeye","blockhouse","11.98","20146191"
"Cadbury Wunderbar Riegel 49g","Cadbury","0.89","5034660522768"
"Voelkel Bio Rhabarber Trunk 0,7l","Voelkel","3.49","4015533011702"
"Weis Williams-Christ 0,7l","Weis","27.99","4002689006256"
"Jope Wichtel-Punsch Alkoholfrei 1l","Jope","1.99","4016389048102"
"Feingold","feingol","3.99","2749940000005"
"Finca Las Moras Rotwein Syrah trocken 0,75l","Finca Las Moras","5.79","7791540127137"
"Pfanni Kartoffelpüree Das Komplette 3x3 Portionen","Pfanni","2.49","4000400130693"
"Hohes C Milder Multvitamini 6x1l","Hohes C","8.94","4048517703492"
"Perwoll White Waschmittel Flüssig 1,35l 27WL","Perwoll","4.65","4015200033716"
"Beck's Green Lemon 24x0,33l","Beck's","17.89","4100130000218"
"Biovitis Demeter Bio Rotwein Spätburgunder Dornfelder Pfalz QbA trocken 0,75l","biovitis","6.79","4062073002189"
"Braustüb'l Pilsner 0,5l","Darmstädter Braustüb'l","0.99","4003767033003"
"Andechser Natur Bio Joghurt 500g","Andechser Natur","1.65","4104060012211"
"Vilsa Naturelle 1l","Vilsa","0.59","4104450004093"
"Sir Winston Tea Earl Grey 500g","Sir Winston Tea","10.49","4009300001331"
"Krombacher Pils 0,5l","Krombacher","1.05","4008287054026"
"Andechser Natur Bio-Vollmilch 3,8% länger haltbar 1l","Andechser Natur","1.69","4104060028359"
"Haus Johannsen Bio Fiete Schnittkäse aus Rohmlich","haus","2.39","2725140000007"
"Anthon Berg Dark Chocolate Creamy Caramel & Cointreau 90g","Anthon Berg","2.39","5774540132006"
"Harzer Kristall Mineralwasser Classic 0,7l","Harzer Kristall Brunnen","0.59","4013466002125"
"Lindt Excellence Schokolade Caramel & Fleur de Sel 100g","Lindt","2.69","3046920020428"
"Eichbaum Waldbeere-Malz Brand 0,7l","Eichbaum","19.99","4054500607401"
"Sebamed Anti-Ageing Aufbaucreme 50ml","Sebamed","7.99","4103040019776"
"Fruchtsnacks Himbeeren gefriergetrocknet 100g","fruchtsnacks","11.49","4260453440358"
"Thüringer Landgarten Bratwurstkraut 550g","thueringer","1.69","4016435001501"
"Eifler Geflügelhof Andres Eier 10 Stück","eifler","2.99","4005794411502"
"Farmer's Snack Kokos-Chips 100g","Farmer's Snack","1.99","4010442417058"
"Now Bio Cola Light 10x0,5l","now","12.99","4012852214012"
"Küstennebel Sternanis 0,04l","Küstennebel","0.99","42029915"
"Martermühle Aßlinger Mischung Kaffee mittelkräftig ganze Bohne 500g","Martermühle","13.79","4260213990024"
"Maybelline Concealer Instant Anti Age Löscher 01 Light 6,8ml","Maybelline","8.99","3600530733446"
"Kelterei Heil Apfelglühwein 1l","Kelterei Heil","2.19","4001490001412"
"Steinhauser Erdbeer-Rhabarber Likör 0,5l","Steinhauser","12.49","4011743030113"
"Stuttgarter Hofbräu Herrenpils 20x0,5l","Stuttgarter Hofbräu","17.49","4100460131101"
"Al Amier Taboulé CousCous-Salatmix 185g","Al Amier","3.29","4013200382087"
"Ur-Krostitzer Pilsner alkoholfrei 20x0,5l","Ur-Krostitzer","15.79","4053400106700"
"Bonali Huhn Kürbis Zucchini 400g","bonali","2.49","4251569801812"
"Leysieffer Marc de Champagne 100g","Leysieffer","6.90","4015699003047"
"Rolf Willy Weißwein Sauvignon Blanc trocken 0,75l","rolf","11.49","4016941006076"
"Fellbacher Weingärtner Rotwein Trollinger halbtrocken 1l","Fellbacher Weingärtner","5.79","4022075000705"
"Rocka Nutrition No Whey Proteinpulver Creamy Nougat vegan 300g","Rocka Nutrition","12.99","4251105518709"
"Kartoffeln festkochend aus der Region 2kg","kartoffeln","3.59","4280000986115"
"Thüringer Waldsau Kräuterlikör 0,5l","thueringer","17.56","4270001793706"
"Whiskas Pure Delight Klassisches Ragout in Gelee 12x85g","Whiskas","4.79","5900951302459"
"Bonduelle Bio Weiße Bohnen 250g","Bonduelle","2.29","3083681153415"
"Ruf Porridge Schoko Banane 65g","Ruf","0.89","4002809018602"
"Bünting Tee Bio Darjeeling 35g, 20 Beutel","Bünting Tee","2.69","4008837214184"
"Metzgerei Esser Zigeunerschnitzel mit Rahmkartoffeln 450g","Esser","5.79","4040027036565"
"Followfish Bio Garnelen Mediterran 250g","Followfish","9.99","4250073455573"
"Kappler Schloss Feiner Williams 0,7l","Kappler","16.49","4103720115002"
"Fit Spülmittel Original 500ml","Fit","1.49","4013162028856"
"716 Weißwein Weißer Gutedel trocken 0,75l","716","5.79","4016297107434"
"Deli Genuss Bio Oliven mit Thymian & Rosmarin 150g","Deli Genuss","3.20","8713734045170"
"Kremers Zwiebelmettwurst","Kremers","1.79","22418012"
"Paulaner Weißbier-Zitrone 0,0% alkoholfrei 20x0,5l","Paulaner","19.49","4066600042020"
"Pall Mall Blue Giga 31 Stück","Pall Mall","11.00","42444923"
"Sachsen Obst Frucht-Glühwein Hot Caipi 0,97l","Obstland Sachsen Obst","3.59","4016895001578"
"REWE Bio Limettensaft 250ml","REWE Bio","1.89","4388860159530"
"Fisherman's Friend Spearmint ohne Zucker 25g","Fisherman's Friend","0.85","96060636"
"Kinder Schokolade Hohlfigur 35g","Kinder","1.19","80969112"
"neo Brilliant Click 20 Stück","neo","5.80","42411079"
"Volvic Juicy Berry 6x0,5l","Volvic","5.94","3057640429798"
"ja! Reine Buttermilch 500g","ja!","0.59","4388860377910"
"Remstalkellerei Weißwein Pinot Blanc QbA trocken 0,75l","Remstalkellerei","8.95","4000748067835"
"Berliner Kindl Bock hell 0,5l","Berliner Kindl","1.05","4100080000528"
"Wulff Wiener im Saitling","wulff","1.59","20497903"
"Perla Mix Paprika Oliven 260g","Perla Antipasti","4.49","5907476533603"
"Teutoburger Frühjahrsblüte 500g","Teutoburger","7.69","4280000477019"
"Asendorfer Meersalzbutter aus Sauerrahmbutter 150g","Asendorfer","2.39","4260079147150"
"Valensina Frucht+ Apfel-Krische-Traube 6x1l","Valensina","10.74","4009491221235"
"Ruf Feenstaub Silber 10g","Ruf","5.99","4002809024894"
"Peter & Peter Weißwein Weissburgunder Pinot Blanc QbA trocken 0,75l","Peter & Peter","5.99","4006542071344"
"Psenner Nocciola Haselnusslikör 0,7l","Psenner","15.99","8005835321391"
"Süsse Susi Mandarinen 1kg im Netz","suesse","3.99","4000007004526"
"Anselmann Riesling Brut 0,75l","anselmann","10.49","4023131121754"
"Kölln Crunchy Hazel Hafer Müsli vegan 400g","Kölln","3.79","4000540003192"
"Haller Löwenbräu Meistergold 20x0,5l","Haller Löwenbräu","17.99","4016188700270"
"Berchtesgadener Land Knusper Vanille 150g","Berchtesgadener Land","0.69","4101530002642"
"Gramann Ahrberg 6 Wiener Würstchen 250g","gramann","4.99","4015053049254"
"Schloss Quelle Classic 1,5l","Schloss Quelle","0.79","4102140002435"
"Vollmer Weißwein Grauburgunder trocken 0,75l","Heinrich Vollmer","7.99","4002089604847"
"Reber König Ludwig Kugeln 60g","Reber","4.95","4101730005672"
"Kettle Chips Sea Salt & Balsamic Vinegar of Modena 40g","Kettle Chips","0.99","5017764112257"
"Knorr Gemüse Bouillon vegan 6,8l","Knorr","1.89","8720182089021"
"ja! Getränkesirup mit Orangen-Geschmack 0,5l","ja!","2.79","4337256360760"
"Schweineniere","schweinenier","0.60","2207750000009"
"Nature & Respect Hähncheninnenfilet aus Freilandhaltung","Nature & Respect","4.98","2252460000009"
"Roose Labskaus 800g","roose","7.99","4003399017044"
"Tönebön Kohlwurst geräuchert 250g","toeneboen","3.99","4260117735103"
"Jakordia Halfzware 40g","Jakordia","5.40","42256939"
"Lautergold Lauterer Luft Kaffee-Likör 0,7l","Lautergold","8.49","4012843020073"
"Swirl Öko-Müllbeutel mit Zugband 35l, 12 Stück","Swirl","2.99","4008871217424"
"Grafschafter Goldsaft Zuckerrübensirup 500g","Grafschafter","2.19","4000412010907"
"Feinkost Dittmann Peperoncini rot mild 160g","Feinkost Dittmann","2.19","4002239645300"
"Die Thüringer Salami","Die Thüringer","1.99","4019252026177"
"Funny-frisch Zwiebli-Ringe 80g","Funny-frisch","1.89","4003586006042"
"Coppenrath Gewürzspekulatius 600g","Coppenrath","1.69","4006952007049"
"Jithofer Hamburger Pfeffersack","jithofer","2.99","2226600000006"
"Bürger Kalbfleischtaschen 360g","Bürger","3.99","4075600121529"
"Iglo Veggie Love mit Blumenkohlreis 400g","Iglo","3.59","4250241208598"
"Moselland Weißwein Riesling Steillage Kabinett halbtrocken 0,75l","Moselland","6.49","4006975003622"
"Marlboro Gold 2XL 26 Stück","Marlboro","80.00","4023500741767"
"Cosumano Rotwein Merlot trocken 0,75l","cosumano","7.99","8028262000165"
"Di Gennaro Salame con Finocchio","di","2.99","23607941"
"Sagrotan Desinfektions-Reiniger 500ml","Sagrotan","3.99","4002448047834"
"Wilkinson Sword Rasierseife 125g","Wilkinson","3.99","4027800920501"
"Schwaben Bräu Das echte Märzen 0,5l","Schwaben Bräu","1.19","4007606000324"
"Händlmaier's Süßer Hausmachersenf 100ml","Händlmaier's","0.99","41047217"
"La Cortadora Bio Espresso entkoffeiniert gemahlen 200g","la","6.99","4260025681752"
"Mr. Wraps 8 Wraps 320g","Mr. Wraps","1.79","5708209001976"
"Wagner Pfeffer schwarz ganz 100g","wagner","4.29","4001639050172"
"Raabe Nobilis Weißwein Riesling feinherb 0,75l","raabe","6.49","4260094290299"
"Philipp Koch Erdbeer Chili Likör 0,5l","philipp","15.99","4260074910179"
"NIVEA Hyaluron Cellular Filler 3 in 1 Care Make-Up 30ml","NIVEA","19.99","4005900839374"
"Schierlinger Hell 0,5l","schierlinger","0.99","4011740005107"
"Fladenbrot Pide 500g","fladenbrot","1.69","4071800005119"
"Zwergenwiese Bio Kinder Ketchup fruchtig mild 200ml","zwergenwiese","3.29","4019736006169"
"REWE Beste Wahl Tortelloni Spinat-Ricotta 500g","REWE Beste Wahl","3.49","4388860684407"
"Pedigree Good Chew Beutel mit Rind für kleine Hunde 1 Stück","Pedigree","1.69","5010394003186"
"Dallmann's Isländisch-Moos-Bonbons 37g","Dallmann's","1.49","4011932235015"
"Davert Bio Taboulé Salat 170g","Davert","2.99","4019339641033"
"Wolfram Berge Amarena Kirsche Süß-Scharf 60ml","Wolfram Berge","3.29","4003185264003"
"Metzger Weißwein Kleiner Weisser trocken 0,75l","metzger","9.99","4260247840302"
"Poliboy Parkett & Laminat Feuchttücher 15 Stück","Poliboy","3.99","4016100621515"
"Arko Cremeplätzchen 125g","Arko","2.79","4031386165928"
"Lien Ying Bambussprossen in Scheiben 170g","Lien Ying","2.19","4013200880170"
"Staatl. Bad Brückenauer Grapefruit 12x0,7l","Staatl. Bad Brückenauer","7.49","4001784020440"
"Planet V Bio Kichererbsen Curry vegan 400g","planet","4.99","4260504942046"
"Maggi Food Travel Würzpaste Sweet Chili Style 65g","Maggi","1.09","42394853"
"ja! Sandwich Eis Bourbon Vanille 6x150ml","ja!","2.19","4337256324182"
"Alpia Schokolade Edel-Nougat 100g","Alpia","0.69","4001743024359"
"Lorenz Crunchips Gitterchips gesalzen 150g","Lorenz","1.99","4018077679216"
"Ruländer Weißwein Kabinett QbA trocken 0,75l","rulaender","7.99","4005731412210"
"Hasseröder Schwarz 20x0,5l","Hasseröder","8.99","4014558120697"
"Berchtesgadener Land Schokoladenmilch 1l","Berchtesgadener Land","1.99","4101530009245"
"Kühne Hot-Chili-Sauce 250ml","Kühne","1.69","40804835"
"Niederegger Marzipan Eier mit Zartbitter-Schokolade 250g","Niederegger","12.00","4000161660040"
"Thunfischfilet Sashimi","thunfischfilet","10.94","4009239173161"
"Vitakraft Kräcker + Traube & Nuss Zwergkaninchen 2 Stück","Vitakraft","1.69","4008239250162"
"Schröder Rostbratwurst fein","Schröder","1.79","28622352"
"28 Black Sour Mango-Kiwi 0,25l","28 black","1.49","4260160951666"
"Ostmann Lorbeerblätter 5g","Ostmann","1.99","4002674102215"
"St. Antony Bio Weißwein Riesling Rotschiefer trocken 0,75l","st","7.95","4040543100207"
"Scherdel Zoigl Weissbier unfiltriert 9x0,5l","scherdel","6.99","4010075222883"
"Schwarzkopf Men Perfect Natur Schwarzbraun 80ml","Schwarzkopf","4.29","4015000529174"
"Macarons de Pauline fraise 72g","macarons","3.99","5420052055066"
"Bunter Wiesenstrauß 1 Bund","bunter","3.69","4337256647915"
"Gekräuterte grüne Oliven ohne Stein","REWE","1.89","4011351937354"
"Adelholzener Apfelschorle 12x0,5l","Adelholzener","8.69","4005906092766"
"Bad Brueckenauer Orange Maracuja 12x0,7l","bad","7.49","4001784020457"
"Hagenauer Hof Eier gekocht Bodenhaltung 6 Stück","Hagenauer Hof","2.49","4007744773555"
"Trade Islands Iced Tea Lemon-Lime 6x0,33l","Trade Islands","8.49","4078400173200"
"REWE Feine Welt Fruchtaufstrich Feige aus Marokko 250g","REWE Feine Welt","1.69","4337256174824"
"Wilhelm Brandenburg Frisches Hähnchen-Gyros gewürzt 500g","Wilhelm Brandenburg","5.99","4046305142072"
"Adelholzener Mineralwasser Classic 6x1l","Adelholzener","4.14","4005906205371"
"Hipp Bio Rote Früchte in Apfel mit stillem Wasser 200ml","Hipp","0.85","4062300443556"
"Koawach Bio Original Schoko 235ml","koawach","1.95","4260407951954"
"Coca-Cola Zero koffeinfrei 12x0,5l","Coca-Cola","15.48","5449000212955"
"Meggle Feine Butter 125g","Meggle","1.59","40349510"
"Bionade Bio Himbeer-Pflaume 10x0,5l","Bionade","12.49","4014472980858"
"Bedford Lange Ritter","Bedford","1.89","4008298482108"
"Frankfurter Pilsator Pilsener 20x0,5l","Frankfurter","7.99","4042269021200"
"Wiltmann Chorizo-Paprika-Salami 300g","Wiltmann","5.99","4001956236860"
"SeaWolf Spirit Wodka 0,5l","seawolf","16.99","4003220061918"
"Kattus Maismehl 500g","Kattus","2.19","4058700707909"
"Förstina-Sprudel Himbeere 12x0,75l","Förstina-Sprudel","7.99","4104640126628"
"Winiary Götterspeise Erdbeergeschmack 75g","Winiary","0.89","5900862217422"
"Extaler Mineralquell medium 1,25l","Extaler","0.59","4100060012237"
"Vin de Bordeaux Rotwein Château Bois Pertuis Récolte Brodeaux trocken0,75l","Château Bois Pertuis","7.99","3500610049354"
"Dr. Oetker Natron 25g","Dr. Oetker","0.89","4000521761516"
"REWE Beste Wahl Kardamom gemahlen 25g","REWE Beste Wahl","1.99","4337256245784"
"Asbach Pralinen Zarte Fläschchen in Zartbitter-Chocolade 100g","Asbach","4.99","4000956022220"
"Walkers Biscuit Assortment 250g","Walkers","5.99","39047052529"
"Thomas Henry Spicy Ginger 0,75l","Thomas Henry","2.49","4260310557588"
"ja! Heringsfilets in Pfeffercreme MSC 200g","ja!","1.39","4337256594165"
"Wicklein Mini Elisen mit Vollmilchschokolade 150g","Wicklein","1.00","4008355032666"
"Reinhardt Blutwurst 180g","reinhardt","3.69","4280000484512"
"Odenwald Quelle Mineralwasser Medium 12x0,75l","Odenwald-Quelle","5.49","4084700001112"
"Listerine Mundspülung Cool Mint Extra-frisch 500ml","Listerine","3.99","3574661731025"
"Schmitzer & Sohn Bio Demeter Weißwein trocken 0,75l","schmitzer","6.99","4024967012506"
"Bihophar Imker-Honig streichzart 500g","Bihophar","4.99","40555584"
"Geifertshofener Bio Schwarzkümmelkäse","geifertshofener","2.69","2713020000001"
"Lorenzo Inga Selection My Limoncello 0,5l","lorenzo","14.99","8032894130329"
"Shekar Kosher Brandy 0,5l","shekar","14.99","4032549014626"
"Fairtrade Original Chips Spicy Indonesian Krupuk 60g","Fairtrade Original","1.49","8711741358221"
"Knorr Kartoffel Snack Röstzwiebel & Croutons 48g","Knorr","0.99","8711327418172"
"Bad Heilbrunner Arzneitee Thymian Tee 11,2g, 8 Beutel","Bad Heilbrunner","1.45","4008137007455"
"Esser Vanillehörnchen 300g","Esser","2.99","4010934001024"
"The Jelly Bean Factory 36 Gourmet Flavours 200g","The Jelly Bean Factory","3.79","745092000933"
"Schwarzkopf got2b Schutzengel Hitzeschutzlotion 200ml","Schwarzkopf","4.99","4015100709780"
"Kräutermatjes in Zitronen-Kräuter-Creme","Beeck","1.99","4008724261062"
"Stromberg-Zabergäu Bio Rotwein Regent trocken vegan 0,75l","stromberg","5.99","4012172703890"
"Landbauern Schwein Schweinekotelett ca. 300g","landbauern","4.77","2772050000009"
"Henrici Fleischwurst halber Ring","Henrici","1.69","2122130000007"
"Ja! Mignon Waffeln 400g","ja!","1.99","4388844160583"
"Hacker-Pschorr Natur Radler alkoholfrei 0,5l","Hacker-Pschorr","1.29","4004866721037"
"Stiratini Pizza Cracker Rosmarin & extra natives Olivenöl 100g","stiratini","2.49","9002859107573"
"Stettner Eierlikör 0,7l","Stettner","11.99","4006606012719"
"Müller Glühwein 1l","mueller","2.25","4001835026018"
"Fuchs Muskatnuss ganz 2 Stück","Fuchs","2.89","4027900283803"
"Zott Sahnejoghurt Himbeer 150g","Zott","0.89","4014500059556"
"Dr. Beckmann Fleckensalz Aktiv-Weiß 400g","Dr. Beckmann","3.49","4008455095813"
"RhönSprudel Naturell 6x1,0l Pack","Rhönsprudel","3.90","4102560111038"
"Yammiez Mallow Burger 50g","yammiez","1.99","5200701003330"
"Die Limo Dark Berries & Guarana 6x1l","Granini","10.14","4048517746598"
"Koch's Tafelmeerrettich scharf 200g","Koch's","1.69","40594057"
"Dr. Oetker Wölkchen Vanille-Geschmack 125g","Dr. Oetker","0.79","40236285"
"Davert Echter Bio Basmati-Reis 500g","Davert","4.29","4019339235133"
"Kartoffeln Annabelle festkochend aus der Region 5kg","kartoffeln","6.29","4260465140062"
"NAKD Peanut Delight 35g","Nakd","0.99","5060088706848"
"Bussy Mix 10 Ice Pops 400ml","Bussy","1.39","4101810300376"
"Dorfmühle Schmale Bandnudeln 4mm 500g","Dorfmühle","2.99","4000398254128"
"Zott Sahnejoghurt Amarena-Kirsch 140g","Zott","0.89","4014500508191"
"Wolfberger Bio Weißwein Riesling trocken 0,75l","Wolfberger","9.99","3221249356698"
"Funny-frisch Paprika-Ecken 75g","Funny-frisch","1.89","4003586006202"
"Merkur Mineralwasser Medium 12x1l","Merkur","5.49","4012297424236"
"Fritt Früchte Mix Minis vegan 135g","Fritt","1.99","4000607577000"
"REWE Beste Wahl Rohrreiniger Gel 1l","REWE Beste Wahl","1.29","4337256210041"
"Gezer Rinderrouladen aus der Keule","gezer","4.90","2725100000009"
"Pur Born Mineralwasser Classic 0,7l","Pur Born","0.79","4001246041037"
"Adelholzener Mineralwasser Naturell 6x0,5l","Adelholzener","2.94","4005906205081"
"Pamapol Flaczki 500g","Pamapol","2.99","5907501002258"
"Nörten-Hardenberger Pils 24x0,33l","Nörten-Hardenberger","9.49","4069800587247"
"Baron de Ley Rotwein Rioja trocken 0,75l","Baron de Ley","18.99","8420347292586"
"Achkarren Weißwein Rivaner QbA trocken 0,75l","Achkarren","4.49","4000904300226"
"Frank Tafel-Meerrettich 360g","frank","2.39","4106480015100"
"Kölln Vollkorn-Haferfleks Klassik 750g","Kölln","4.99","4000540011081"
"Like Home Hummus Chili vegan 200g","like","2.69","4251540700127"
"Becksteiner Weinhaus Rosé Cuvée QbA süß 0,75l","Becksteiner Winzer","5.99","4101580433403"
"Bierwurst 80g","bierwurst","1.39","4003561025440"
